Cable Reference,From,To,Pole#,Manufacturer,Product Code,Cable Type,Cable Code,Cable Configuration,Cores,Cable Size (mm²),Conductor (Active),Insulation,Sheath,Shield,Cable Capacity (A),Phase Conductor Impedance (Ohms),Phase Conductor Resistance (Ohms),Phase Conductor Reactance (Ohms),Neutral Size (mm²),Neutral Conductor Impedance (Ohms),Neutral Conductor Resistance (Ohms),Neutral Conductor Reactance (Ohms),Earth Size (mm²),Conductor (Earth),Earth Zero Sequence Impedance (Ohms),Earth Zero Sequence Resistance (Ohms),Earth Zero Sequence Reactance (Ohms),Separate Earth for Multicore,Cable Length (m),Cable Max. Length (m),Derating Factor,Conductor Temperature,Ambient Temperature,Function,Voltage (Vac),Voltage Drop (%),Voltage Drop (Volts),Target Voltage Drop (%),Accum. Voltage Drop % (Incl. FSC),Accum. Voltage Drop % (Excl. FSC),Load (A),Load Power Factor,Load THD% (Ref. Fund),Prospective Fault at Start of Cable (kA),Prospective Fault at End of Cable (kA),Prospective Earth Fault If (kA),Cable Selection Criteria,Earth Fault Impedance Zs (Ohms),Max. Allowable Earth Fault Impedance Zs (Ohms),Total Cable Run Weight (Incl. N & E) (kg),Price ($),Depth of Burial (m),Soil Resistivity (?C.m/W),AS/NSZ 3008 Cable Derating Factor,Addition Cable Derating,Combined Cable Derating Factor,Additional Circuits,No. of Conduits,Conduit Size (mm),Circuit Description,Design Progress,Active Conductor Thermal Stress Limit (A²s),Earth Conductor Thermal Stress Limit (A²s),Protective Device Let-Through Energy - Active Conductor (A²s),Protective Device Let-Through Energy - Earth Conductor (A²s)
C112,T1,MSB-3 (STAGE 3) (Bus A),,Olex-Pyrolex,,Fire Rated,6,13,S.D.I,7×300,Cu,PYROLEX,HFS-110-TP,No Shield,3455.2,0.000239641,0.000162949,0.000175714,7×300,0.00022465,0.000139971,0.000175714,No Earth,Cu,0,0,0,,15,283.4,0.8,72.92,25,,400,0.21,0.85,0.21168,1.71,0.21,2454.03,0.97,0,45.05,43.33,37.04,P,0.005861,0.020557,,,0.5,1.2,1,0.8,0.8,0,21,HD 21×63,,,2360324406,0,121778950.9,0
C111,MSB-3 (STAGE 3) (Bus A),Capacitor Bank: PFC,P11,Olex,BDBP25AA001,,6,2,S.D.I,2×185,Cu,XLPE 90°C,PVC,No Shield,833.04,0.001183793,0.000947428,0.00070975,No Neutral,0,0,0,120,Cu,0.00320115,0.002839,0.001479,,17,210.7,0.89,46.16,40,,400,0.09,0.36,1.5,0.3,0.3,292.28,0,0,43.33,36.81,22.64, ,0.009589,0.059417,212.84,6042.38,,,0.89,,0.89,0,,,,,951640275.8,265959804.8,951640275.8,0
C115,MSB-3 (STAGE 3) (Bus A),LINK TO STAGE 2 GENERATOR SWITCHBOARD,P2,Olex-Pyroflex,,Fire Rated,6,2,S.D.I,5×300,Cu,PYROFLEX,HFS-110-TP,No Shield,2827.5,0.002497197,0.00180988,0.00172056,5×300,0.002336469,0.001580747,0.00172056,4×120,Cu,0.005037104,0.00446725,0.00232725,,107,207.8,0.87,80.03,40,,400,2.06,8.24,3.28832,3.77,2.27,2000,0.9,0,43.33,30.86,17.24, ,0.012593,0,,,,,0.87,,0.87,0,,,,,2255615444,4255356877,2255615444,0
C114,MSB-3 (STAGE 3) (Bus A),PORTABLE GENERATOR CONNECTION BOX,P5,Olex-Pyrolex,,Fire Rated,6,13,S.D.I,4×300,Cu,PYROLEX,HFS-110-TP,No Shield,1826.32,0.000376245,0.000265591,0.0002665,4×300,0.000340719,0.00021229,0.0002665,5×120,Cu,0.00046896,0.0004108,0.0002262,,13,282.6,0.74,97.91,25,,400,0.18,0.74,3.28832,1.9,0.4,1600,1,0,43.33,40.89,33.09,O,0.006561,0.082229,,,0.5,1.2,0.74,,0.74,0,12,HD 12×63,,,2002093734,7679241705,30461742.33,23823658.86
C113,G-01,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),,Olex,BDBP27AA001,,6,13,S.D.I,7×300,Cu,XLPE 90°C,PVC,No Shield,3864,0.000254266,0.000174523,0.000184914,7×300,0.0002385,0.000150629,0.000184914,5×120,Cu,0.000577181,0.0005056,0.0002784,,16,321.7,1,72.15,25,,400,0.25,0.99,0.31239,0.25,0.25,0,1,0,23.79,23.31,19,P,0.011428,0.030836,1465.28,40845.92,0.5,1.2,1,,1,0,21,HD 21×50,,,2096513727,7679241705,152757962.5,123886661.8
C113,G-01,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),,Olex,BDBP27AA001,,6,13,S.D.I,7×300,Cu,XLPE 90°C,PVC,No Shield,3864,0.000254266,0.000174523,0.000184914,7×300,0.0002385,0.000150629,0.000184914,5×120,Cu,0.000577181,0.0005056,0.0002784,,16,321.7,1,72.15,25,,400,0.25,0.99,0.31239,0.25,0.25,0,1,0,23.79,23.31,19,P,0.011428,0.030836,1465.28,40845.92,0.5,1.2,1,,1,0,21,HD 21×50,,,2096513727,7679241705,152757962.5,123886661.8
C106,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),LSSB-L2-1,P2,tricab-Flexible Fire Resistant 125°C - FR Series,FR-PAXN/5C35,"Flexible, Fire Rated",15,2,"Circ, Flex, 4C&E",35,Cu,LSFLEX® R-125,LSFLEX® T-10,No Shield,173,0.108295825,0.107473856,0.0133175,35,0.105493973,0.10465,0.0133175,10,Cu,0.361361459,0.361083333,0.014175,No,175,271.7,1,47.33,40,,400,2.58,10.31,3.28832,4.29,2.79,56,0.95,0,43.33,2.21,0.48, ,0.456392,1.146686,980.7,,,,1,,1,0,,,,,33800014.7,2893475.385,1335740.609,161385.8722
C107,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),LSSB-L2-2,P5,tricab-Flexible Fire Resistant 125°C - FR Series,FR-PAXN/5C35,"Flexible, Fire Rated",15,2,"Circ, Flex, 4C&E",35,Cu,LSFLEX® R-125,LSFLEX® T-10,No Shield,173,0.106439325,0.105631447,0.0130892,35,0.103685505,0.102856,0.0130892,10,Cu,0.355166691,0.354893333,0.013932,No,172,281.5,1,47.33,40,,400,2.44,9.77,3.28832,4.16,2.66,56,0.9,0,43.33,2.25,0.48, ,0.448609,1.146686,963.89,,,,1,,1,0,,,,,33800014.7,2893475.385,1335740.609,161587.4058
C108,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),LSSB-L3-1,P8,tricab-Flexible Fire Resistant 125°C - FR Series,FR-PAXN/5C16,"Flexible, Fire Rated",15,2,"Circ, Flex, 4C&E",16,Cu,LSFLEX® R-125,LSFLEX® T-10,No Shield,106,0.177804718,0.177502602,0.0103607,16,0.174095231,0.173786667,0.0103607,6,Cu,0.47273529,0.472593333,0.0115843,No,133,223.3,1,45.99,40,,400,2.38,9.53,3.28832,4.09,2.59,31,1,0,43.33,1.36,0.35,P,0.621806,1.146686,383.84,,,,1,,1,0,,,,,7126004.512,1041651.138,1335740.609,160555.4442
C109,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),LSSB-L3-2,P11,tricab-Flexible Fire Resistant 125°C - FR Series,FR-PAXN/5C25,"Flexible, Fire Rated",15,2,"Circ, Flex, 4C&E",25,Cu,LSFLEX® R-125,LSFLEX® T-10,No Shield,140,0.119612773,0.119137813,0.0106488,25,0.114960927,0.114466667,0.0106488,6,Cu,0.483398492,0.483253333,0.0118456,No,136,188.3,1,51.2,40,,400,2.89,11.56,3.28832,4.6,3.1,56,1,0,43.33,2.01,0.38, ,0.573514,1.146686,563.45,,,,1,,1,0,,,,,16811341.85,1041651.138,1335740.609,160095.3488
C110,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),LSSB-L3-3,P14,tricab-Flexible Fire Resistant 125°C - FR Series,FR-PAXN/5C25,"Flexible, Fire Rated",15,2,"Circ, Flex, 4C&E",25,Cu,LSFLEX® R-125,LSFLEX® T-10,No Shield,140,0.029524892,0.029404625,0.0026622,25,0.028740232,0.028616667,0.0026622,6,Cu,0.120849623,0.120813333,0.0029614,No,34,232.2,1,47.56,40,,400,0.59,2.34,3.28832,2.3,0.8,46,1,0,43.33,7.61,1.5, ,0.144702,2.111508,140.86,,,,1,,1,0,,,,,17219792.81,1041651.138,1335740.609,143096.8331
,MSB-3 (STAGE 3) (Bus G),EWCIE (GROUND FLOOR),P1-R,Olex-Pyrolex,,Fire Rated,2,2,"Circ, 2C&E",4,Cu,PYROLEX,HFS-110-TP,No Shield,55,0.049828943,0.049819008,0.000995,4,0.049709959,0.0497,0.000995,2.5,Cu,0.079972819,0.079966667,0.000992,No,10,185.4,1,40.66,40,,400,0.22,0.5,3.28832,1.93,0.43,5,1,0,41.77,2.41,1.65,S,0.131898,2.772495,,,,,1,,1,0,,,,,509949.0083,199964.5412,3162.279785,3162.279785
,MSB-3 (STAGE 3) (Bus G),FDCIE (GROUND FLOOR),P4-R,Olex-Pyrolex,,Fire Rated,2,2,"Circ, 2C&E",4,Cu,PYROLEX,HFS-110-TP,No Shield,55,0.049828943,0.049819008,0.000995,4,0.049709959,0.0497,0.000995,2.5,Cu,0.079972819,0.079966667,0.000992,No,10,185.4,1,40.66,40,,400,0.22,0.5,3.28832,1.93,0.43,5,1,0,41.77,2.41,1.65,S,0.131898,2.772495,,,,,1,,1,0,,,,,509949.0083,199964.5412,3162.279785,3162.279785
,MSB-3 (STAGE 3) (Bus G),FDCIE (LEVEL 1),P7-R,Olex-Pyrolex,,Fire Rated,2,2,"Circ, 2C&E",4,Cu,PYROLEX,HFS-110-TP,No Shield,55,0.049828943,0.049819008,0.000995,4,0.049709959,0.0497,0.000995,2.5,Cu,0.079972819,0.079966667,0.000992,No,10,185.4,1,40.66,40,,400,0.22,0.5,3.28832,1.93,0.43,5,1,0,41.77,2.41,1.65,S,0.131898,2.772495,,,,,1,,1,0,,,,,509949.0083,199964.5412,3162.279785,3162.279785
C116,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),GENERATOR AUX,P20,tricab-Flexible Fire Resistant 125°C - FR Series,FR-PAXN/5C35,"Flexible, Fire Rated",15,2,"Circ, Flex, 4C&E",35,Cu,LSFLEX® R-125,LSFLEX® T-10,No Shield,173,0.011715148,0.011651701,0.0012176,35,0.009645163,0.009568,0.0012176,10,Cu,0.033038762,0.033013333,0.001296,No,16,79.3,1,99.88,40,,400,0.81,3.23,3.28832,2.52,1.02,160,1,0,43.33,16.41,4.73,I,0.04592,0.659846,89.66,,,,1,,1,0,,,,,23135756.92,2893475.385,1557670.061,1420961.256
C113,G-01,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),,Olex,BDBP27AA001,,6,13,S.D.I,7×300,Cu,XLPE 90°C,PVC,No Shield,3864,0.000254266,0.000174523,0.000184914,7×300,0.0002385,0.000150629,0.000184914,5×120,Cu,0.000577181,0.0005056,0.0002784,,16,321.7,1,72.15,25,,400,0.25,0.99,0.31239,0.25,0.25,0,1,0,23.79,23.31,19,P,0.011428,0.030836,1465.28,40845.92,0.5,1.2,1,,1,0,21,HD 21×50,,,2096513727,7679241705,152757962.5,123886661.8
C101,MSB-3 (STAGE 3) (Bus C),MDB-L2-MECH.01,P5,Olex,BDBP26AA001,,6,12,S.D.I,4×240,Cu,XLPE 90°C,PVC,No Shield,1346.16,0.005825251,0.004284381,0.00394685,4×300,0.005034586,0.003179675,0.003903425,2×120,Cu,0.017405615,0.015247,0.0083955,,193,301.2,0.79,54.05,25,,400,1.67,6.68,2.65542,3.38,1.88,900,1,0,43.33,22.06,7.78,P,0.027899,0.040852,8515.16,243277.85,0.5,1.2,0.79,,0.79,0,2,HD 2×125,,,1520176382,1228678673,56317820.44,7265594.445
C504,MDB-L2-MECH.01,CHILLER 1,P2,Olex,BDBP25AA001,,6,2,S.D.I,185,Cu,XLPE 90°C,PVC,No Shield,453.96,0.006896851,0.005728287,0.003841,185,0.006316128,0.005014,0.003841,70,Cu,0.013976407,0.013324667,0.0042182,,46,185.5,0.97,78.82,40,,400,0.99,3.97,1.61865,4.37,2.87,400,1,0,22.06,13.88,4.52,I,0.048066,0.120082,378.58,10789.67,,,0.97,,0.97,0,,,,,759744172.3,90500211.35,14599246.23,3112592.341
C501,MDB-L2-MECH.01,MSSB-3AS.01,P5,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.007521068,0.007424461,0.0012016,50,0.006800335,0.006693333,0.0012016,16,Cu,0.019828543,0.019786667,0.001288,No,16,142.2,1,70.25,40,,400,0.45,1.8,1.61865,3.83,2.33,140,1,0,22.06,14.34,4.1,P,0.052954,0.710946,107.52,1258.29,,,1,,1,0,,,,,59028450.56,7407296.985,1154244.173,1068528.095
C502,MDB-L2-MECH.01,MSSB-3AS.04,P8,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.009526648,0.009167904,0.0025897,70,0.008790458,0.008400333,0.0025897,25,Cu,0.022962027,0.022755333,0.003074,,29,178.2,0.97,64.81,40,,400,0.65,2.6,1.61865,4.03,2.53,164,1,0,22.06,12.68,3.72, ,0.058298,0.637533,92.22,2517.53,,,0.97,,0.97,0,,,,,120184844.2,11543394.3,1670190.175,881599.0221
C503,MDB-L2-MECH.01,MSSB-3AS.06,P11,Olex,HTHC18AA004,,5,2,"Circ, 4C&E",35,Cu,XLPE 90°C,PVC,No Shield,147,0.021571073,0.02138468,0.0028296,35,0.020559648,0.020364,0.0028296,10,Cu,0.071104333,0.07104,0.003024,No,36,76.3,1,53.72,40,,400,0.71,2.85,1.61865,4.09,2.59,77,1,0,22.06,8.17,1.86, ,0.116599,0.220366,180.36,2042.05,,,1,,1,0,,,,,32402634.22,2893475.385,1021416.368,220389.0818
C505,MDB-L2-MECH.01,CHILLER 2,P14,Olex,BDBP25AA001,,6,2,S.D.I,185,Cu,XLPE 90°C,PVC,No Shield,453.96,0.005397535,0.004483007,0.003006,185,0.004943057,0.003924,0.003006,70,Cu,0.010938058,0.010428,0.0033012,,36,185.5,0.97,78.82,40,,400,0.78,3.11,1.61865,4.16,2.66,400,1,0,22.06,15.12,4.97,I,0.04364,0.11798,296.28,8444.09,,,0.97,,0.97,0,,,,,759744172.3,90500211.35,14599246.23,3775900.119
C113,G-01,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),,Olex,BDBP27AA001,,6,13,S.D.I,7×300,Cu,XLPE 90°C,PVC,No Shield,3864,0.000254266,0.000174523,0.000184914,7×300,0.0002385,0.000150629,0.000184914,5×120,Cu,0.000577181,0.0005056,0.0002784,,16,321.7,1,72.15,25,,400,0.25,0.99,0.31239,0.25,0.25,0,1,0,23.79,23.31,19,P,0.011428,0.030836,1465.28,40845.92,0.5,1.2,1,,1,0,21,HD 21×50,,,2096513727,7679241705,152757962.5,123886661.8
C102,MSB-3 (STAGE 3) (Bus E),MDB-L2-MECH.02,P8,Olex,BDBP26AA001,,6,12,S.D.I,3×240,Cu,XLPE 90°C,PVC,No Shield,1060.74,0.007837255,0.005757784,0.005317,3×300,0.006782344,0.0042835,0.0052585,2×120,Cu,0.017585984,0.015405,0.0084825,,195,363.1,0.83,53.31,25,,400,1.75,6.98,2.78792,3.46,1.96,700,1,0,43.33,18.75,7.22, ,0.030085,0.051859,6567.6,187926.39,0.5,1.2,0.83,,0.83,0,2,HD 2×125,,,1527780952,1228678673,56317820.44,7945001.007
C506,MDB-L2-MECH.02,MSSB-3AS.02,P2,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.006640761,0.006396086,0.001786,70,0.006062385,0.005793333,0.001786,25,Cu,0.01583588,0.015693333,0.00212,,20,165.1,0.97,68.25,40,,400,0.48,1.94,1.54308,3.94,2.44,175,1,0,18.75,13.11,4.28,P,0.050765,0.459024,63.6,1736.23,,,0.97,,0.97,0,,,,,117332996.6,11543394.3,1502862.649,1162656.581
C507,MDB-L2-MECH.02,MSSB-3AS.03,P5,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.010409909,0.010035075,0.0027683,70,0.009396696,0.008979667,0.0027683,25,Cu,0.024545615,0.024324667,0.003286,,31,102.3,0.97,71.92,40,,400,0.81,3.23,1.54308,4.27,2.77,186,1,0,18.75,11.08,3.46,I,0.062766,0.143006,98.58,2691.16,,,0.97,,0.97,0,,,,,114331484.9,11543394.3,1502862.649,760561.3793
C508,MDB-L2-MECH.02,MSSB-3AS.05,P8,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.011803068,0.011381725,0.0031255,70,0.010609173,0.010138333,0.0031255,25,Cu,0.027712791,0.027463333,0.00371,,35,149.5,0.97,73.31,40,,400,0.94,3.75,1.54308,4.39,2.89,190,1,0,18.75,10.47,3.23,I,0.067192,0.459024,111.3,3038.4,,,0.97,,0.97,0,,,,,113204035.1,11543394.3,1502862.649,663650.528
C509,MDB-L2-MECH.02,CHILLER 3,P11,Olex,BDBP25AA001,,6,2,S.D.I,185,Cu,XLPE 90°C,PVC,No Shield,453.96,0.003743065,0.003049146,0.002171,185,0.003569986,0.002834,0.002171,70,Cu,0.007899708,0.007531333,0.0023842,,26,206,0.97,60.69,40,,400,0.39,1.54,2.04308,3.34,2.34,292,1,0,18.75,14.72,5.26,P,0.04125,0.121005,213.98,6098.51,,,0.97,,0.97,0,,,,,863651341.6,90500211.35,10546021.22,4226222.171
C113,G-01,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),,Olex,BDBP27AA001,,6,13,S.D.I,7×300,Cu,XLPE 90°C,PVC,No Shield,3864,0.000254266,0.000174523,0.000184914,7×300,0.0002385,0.000150629,0.000184914,5×120,Cu,0.000577181,0.0005056,0.0002784,,16,321.7,1,72.15,25,,400,0.25,0.99,0.31239,0.25,0.25,0,1,0,23.79,23.31,19,P,0.011428,0.030836,1465.28,40845.92,0.5,1.2,1,,1,0,21,HD 21×50,,,2096513727,7679241705,152757962.5,123886661.8
C103,MSB-3 (STAGE 3) (Bus F),DB-G-MSR.01 (GEN L&P),P11,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.006074614,0.005706244,0.0020832,95,0.005431388,0.005016,0.0020832,25,Cu,0.019003057,0.018832,0.002544,,24,155.4,0.97,77.4,40,,400,0.62,2.47,3.28832,2.33,0.83,250,1,0,43.33,23.24,7.67,I,0.028304,0.174205,103.2,2896.4,,,0.97,,0.97,0,,,,,202428942.2,11543394.3,56317816.27,2244135.261
